,Unnamed: 0,text,mod_text
588,588,"""Dalam kancah internasional, Prabowo selalu dihormati sebagai Menteri Pertahanan dari republik besar,” kata Muzani… https://t.co/A5eVInrMbP","['dalam', 'kancah', 'internasional', 'prabowo', 'selalu', 'hormat', 'bagai', 'menteri', 'tahan', 'dari', 'republik', 'besar', 'kata', 'muzani']"
589,589,"pernah nonton video Pak Prabowo bilang gini ga ""kenapa? karna kita tidak punya uang"" lucuu hahaha","['pernah', 'nonton', 'video', 'pak', 'prabowo', 'bilang', 'gin', 'ga', 'kenapa', 'karna', 'kita', 'tidak', 'punya', 'uang', 'lucuu', 'hahaha']"
590,590,@bumnbersatu @jokowi @airlangga_hrt @ganjarpranowo @aniesbaswedan @prabowo 😆😆😆 lucu..dan makjleb...,"['bumnbersatu', 'jokowi', 'airlanggahrt', 'ganjarpranowo', 'aniesbaswedan', 'prabowo', 'lucudan', 'makjleb']"
591,591,"Menurut Muzani, dalam situasi yang tidak menentu seperti sekarang perlu pemimpin seperti Prabowo… https://t.co/Fk38HCVhjc","['turut', 'muzani', 'dalam', 'situasi', 'yang', 'tidak', 'tentu', 'seperti', 'sekarang', 'perlu', 'pimpin', 'seperti', 'prabowo']"
592,592,"Kalau jadi Presiden, Prabowo Subianto Ingin Lihat Rakyat Tersenyum Menatap Masa Depan Mending Prabowo https://t.co/99ny9Ov2pe dekade08","['kalau', 'jadi', 'presiden', 'prabowo', 'subianto', 'ingin', 'lihat', 'rakyat', 'senyum', 'tatap', 'masa', 'depan', 'mending', 'prabowo', 'dekade']"
593,593,@djokoAdv @_SEKNAS_RI @EAbadi7 @SutayaLili @Budi_Dharma88 @Allyriva19 @kapten11 @Nengnengpondasi @RealYany… https://t.co/4lP5EEsar2,"['djokoadv', 'seknasri', 'eabadi', 'sutayalili', 'budidharma', 'allyriva', 'kapten', 'nengnengpondasi', 'realyany']"
594,594,"Kinerja Prabowo mendapat nilai positif lebih tinggi (76,1 persen) dibandingkan Anies Baswedan sebagai Gubernur DKI… https://t.co/1uGTq3LpQW","['kerja', 'prabowo', 'dapat', 'nilai', 'positif', 'lebih', 'tinggi', 'persen', 'banding', 'anies', 'baswedan', 'bagai', 'gubernur', 'dki']"
595,595,@SantorinisSun keduluan si AHY nih PAK @sandiuno harusnya gercep NGARDUSIN PKS kek dulu. biar biaa NYAWAPRES bareng… https://t.co/NPgUPx7vqw,"['santorinissun', 'keduluan', 'si', 'ahy', 'nih', 'pak', 'sandiuno', 'harus', 'gercep', 'ngardusin', 'pks', 'kek', 'dulu', 'biar', 'biaa', 'nyawapres', 'bareng']"
596,596,"@PartaiSocmed @ItsMe_RBH @Gerindra Susi-Prabowo ""SUPRA"" gimana min @Gerindra ..??","['partaisocmed', 'itsmerbh', 'gerindra', 'susiprabowo', 'supra', 'gimana', 'min', 'gerindra']"
597,597,"Ratusan emak-emak yang tergabung dalam Komunitas Emak-Emak Kabupaten Nganjuk, Jawa Timur menggelar deklarasi dukung… https://t.co/pHje29wtb6","['ratus', 'emakemak', 'yang', 'gabung', 'dalam', 'komunitas', 'emakemak', 'kabupaten', 'nganjuk', 'jawa', 'timur', 'gelar', 'deklarasi', 'dukung']"
598,598,@Rusman30966088 @Budi_Dharma88 @AwYesaya @Allyriva19 @kapten11 @EAbadi7 @SomarwaneSefnat @Nengnengpondasi @RealYany… https://t.co/cMv4gzIz49,"['rusman', 'budidharma', 'awyesaya', 'allyriva', 'kapten', 'eabadi', 'somarwanesefnat', 'nengnengpondasi', 'realyany']"
599,599,Para relawan dari berbagai elemen di Kabupaten Nganjuk mendeklarasikan dukungan kepada Prabowo Subianto sebagai Cap… https://t.co/bMwqlmqVyE,"['para', 'rawan', 'dari', 'bagai', 'elemen', 'di', 'kabupaten', 'nganjuk', 'deklarasi', 'dukung', 'kepada', 'prabowo', 'subianto', 'bagai', 'cap']"
600,600,"Wan JEMBUT eh WAN ABUD kok tidak dapat Indonesia Award 2022 ?
Mungkin karena nggak bisa dibeli kale !!!
 https://t.co/NM2O1f67An","['wan', 'jembut', 'eh', 'wan', 'abud', 'kok', 'tidak', 'dapat', 'indonesia', 'award', 'mungkin', 'karena', 'nggak', 'bisa', 'beli', 'kale']"
601,601,"@Hunterjagar3 Piling saya (maaf belon ngopi) 2 pasang: PDIP, Golkar, PAN, PPP (GP+ET) vs Gerindra, PKB, Nasdem, Dem… https://t.co/xP5OlohcoY","['hunterjagar', 'piling', 'saya', 'maaf', 'belon', 'ngopi', 'pasang', 'pdip', 'golkar', 'pan', 'ppp', 'gpet', 'vs', 'gerindra', 'pkb', 'nasdem', 'dem']"
602,602,"Menhan Prabowo Subianto Yakin Indonesia Mampu Ciptakan Jet Tempur

#Kabardpr #news #nasional #PrabowoSubianto… https://t.co/ptyDcbOqpi","['menhan', 'prabowo', 'subianto', 'yakin', 'indonesia', 'mampu', 'cipta', 'jet', 'tempur', 'kabardpr', 'news', 'nasional', 'prabowosubianto']"
603,603,@PartaiSocmed @susipudjiastuti Hloh kan sy juga enggak bilang Anies tdk ditempel oligarki. Kebijakannya soal vaksin… https://t.co/frHkQ1ylP2,"['partaisocmed', 'susipudjiastuti', 'hloh', 'kan', 'sy', 'juga', 'enggak', 'bilang', 'anies', 'tdk', 'tempel', 'oligarki', 'bijak', 'soal', 'vaksin']"
604,604,Prabowo Subianto raih penghargaan Outstanding Leader in National Defense &amp; Security dalam Indonesia Awards 2022 Men… https://t.co/aBd9Qe5JxT,"['prabowo', 'subianto', 'raih', 'harga', 'outstanding', 'leader', 'in', 'national', 'defense', 'security', 'dalam', 'indonesia', 'awards', 'men']"
605,605,@Kimi58486332 Waduhh ini mah di jarah dg cara halus Nkri udah di gnti nkrc @mohmahfudmd @prabowo @jokowi,"['kim', 'waduhh', 'ini', 'mah', 'di', 'jarah', 'dg', 'cara', 'halus', 'nkri', 'udah', 'di', 'gnti', 'nkrc', 'mohmahfudmd', 'prabowo', 'jokowi']"
606,606,"""Kami akan terus mendukung perjuangan ini. Pemerintah Indonesia beberapa kali memberikan penekanan akan terus memba… https://t.co/b0d1CecJ8g","['kami', 'akan', 'terus', 'dukung', 'juang', 'ini', 'perintah', 'indonesia', 'beberapa', 'kali', 'beri', 'tekan', 'akan', 'terus', 'memba']"
607,607,"""Hal ini adalah bantuan konkret untuk mempersiapkan masa depan bangsa Palestina. Kami percaya bahwa pada akhirnya r… https://t.co/IKnhD6jqlA","['hal', 'ini', 'adalah', 'bantu', 'konkret', 'untuk', 'siap', 'masa', 'depan', 'bangsa', 'palestina', 'kami', 'percaya', 'bahwa', 'pada', 'akhir', 'r']"
608,608,"""Kami juga menawarkan beasiswa di tingkat SMA berasrama (boarding school) serta sekolah-sekolah militer lainnya unt… https://t.co/XpNw9cVkxP","['kami', 'juga', 'tawar', 'beasiswa', 'di', 'tingkat', 'sma', 'asrama', 'boarding', 'school', 'serta', 'sekolahsekolah', 'militer', 'lain', 'unt']"
